,station,weight,latitude,longitude,elevation,label
10334,ASN00069021,12.0,-37.0667,149.35,675.0,5467.0
194,ASN00088043,48.0,-37.056,143.732,249.3,3123.0
6896,ASN00083055,12.0,-37.0491,147.3347,1295.4,5467.0
3494,ASN00088053,5.0,-37.0277,145.1491,145.0,3123.0
3479,ASN00079099,8.0,-37.0222,141.2657,155.0,3715.0
10381,ASN00088051,19.0,-37.0194,144.5203,290.0,3123.0
23711,ASN00070328,21.0,-37.0016,149.2336,760.5,5467.0
6910,ASN00088041,9.0,-36.9989,144.0703,320.0,3123.0
3485,ASN00083081,12.0,-36.9833,147.1478,1750.0,9342.0
23730,ASN00083014,2.0,-36.9833,147.15,1783.1,9342.0
10273,ASN00026099,14.0,-36.9813,140.727,49.7,3715.0
17107,ASN00083085,22.0,-36.9767,147.1342,1849.0,9342.0
20377,ASN00026016,25.0,-36.9731,140.3664,30.0,3715.0
23654,ASN00026095,22.0,-36.9655,139.7164,17.0,3715.0
193,ASN00088029,5.0,-36.9579,144.6935,294.0,3123.0
6801,ASN00026023,39.0,-36.9564,140.7402,58.0,3715.0
10337,ASN00070005,44.0,-36.9113,149.2379,705.0,5467.0
144,ASN00069093,29.0,-36.9106,149.9017,2.0,5467.0
20444,ASN00069147,15.0,-36.9077,149.8989,1.5,5467.0
17120,ASN00088109,53.0,-36.8886,145.1859,140.8,3123.0
3390,ASN00026013,30.0,-36.8803,140.9286,95.0,3715.0
20465,ASN00083084,22.0,-36.8708,147.2755,1765.0,9342.0
20463,ASN00083037,5.0,-36.8633,147.2794,1510.0,9342.0
10361,ASN00082042,39.0,-36.8472,145.7308,502.0,9342.0
20462,ASN00083004,12.0,-36.8056,147.2239,718.0,9342.0
13740,ASN00082016,11.0,-36.7545,145.5727,181.0,9342.0
17103,ASN00081003,35.0,-36.7533,144.2825,225.3,3123.0
3483,ASN00083023,28.0,-36.745,147.1633,365.8,9342.0
23732,ASN00083083,20.0,-36.7396,146.4671,365.0,9342.0
20461,ASN00081123,21.0,-36.7395,144.3266,208.0,3123.0
3484,ASN00083067,25.0,-36.7313,146.9614,319.0,9342.0
20464,ASN00083073,14.0,-36.722,146.8189,1350.0,9342.0
143,ASN00069002,30.0,-36.6884,149.838,50.0,5467.0
10353,ASN00079028,48.0,-36.6722,142.2991,133.0,3123.0
10336,ASN00069139,21.0,-36.6722,149.8191,41.0,5467.0
170,ASN00079100,15.0,-36.6697,142.1731,133.8,3123.0
169,ASN00079023,54.0,-36.6613,142.0687,128.0,3123.0
6805,ASN00026100,13.0,-36.6539,140.5212,35.0,3715.0
10359,ASN00081115,9.0,-36.6284,144.8726,115.0,3123.0
17099,ASN00079040,26.0,-36.6189,143.2631,240.0,3123.0
6804,ASN00026089,22.0,-36.5958,140.4864,37.0,3715.0
13562,AR000087623,56.0,-36.567,-64.266,192.0,5579.0
176,ASN00082034,4.0,-36.5667,146.7333,222.5,9342.0
23729,ASN00082170,1.0,-36.5523,145.9977,170.5,9342.0
23727,ASN00082002,50.0,-36.5483,145.9703,169.5,9342.0
6893,ASN00082076,38.0,-36.5353,147.4984,365.0,5467.0
23728,ASN00082068,6.0,-36.5293,147.3749,320.0,5467.0
23724,ASN00078045,3.0,-36.5167,142.1667,135.0,3123.0
23708,ASN00070067,9.0,-36.5112,149.2794,1075.0,5467.0
13725,ASN00071041,42.0,-36.5031,148.304,1380.0,5467.0
6879,ASN00071032,32.0,-36.4917,148.2859,1957.0,5467.0
10358,ASN00081049,48.0,-36.4378,145.2672,114.0,9342.0
20446,ASN00071003,23.0,-36.4335,148.3327,1755.0,5467.0
6878,ASN00071029,5.0,-36.4333,148.35,1767.8,5467.0
13739,ASN00081125,16.0,-36.4289,145.3947,113.9,9342.0
10363,ASN00082138,26.0,-36.4206,146.3056,152.6,9342.0
17105,ASN00082059,1.0,-36.4167,146.7667,-999.9,9342.0
23726,ASN00080099,3.0,-36.4093,143.9752,110.0,3123.0
20447,ASN00071072,28.0,-36.4033,148.4104,1735.0,5467.0
174,ASN00081044,7.0,-36.3783,145.4192,110.0,9342.0
20459,ASN00081013,11.0,-36.3717,145.7048,185.0,9342.0
175,ASN00082001,30.0,-36.3702,146.7132,580.0,9342.0
17098,ASN00078072,34.0,-36.3697,142.9709,114.0,3123.0
10362,ASN00082053,30.0,-36.3667,146.3,150.0,9342.0
23723,ASN00078034,15.0,-36.3667,140.9833,118.9,3715.0
